"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-01-01","0.00","0.0","0.0","15","35","6"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-01-02","0.00","0.0","0.0","25","41","16"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-01-03","0.00","0.0","0.0","29","46","15"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-01-04","0.00","0.0","0.0","29","45","18"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-01-05","0.00","0.0","0.0","33","45","23"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-01-06","0.00","0.0","0.0","33","46","19"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-01-07","0.15","1.2","0.0","31","35","28"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-01-08","0.23","2.3","2.0","26","29","18"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-01-09","0.00","0.0","2.0","21","28","6"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-01-10","0.00","0.0","2.0","15","32","5"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-01-11","0.00","0.0","2.0","23","40","12"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-01-12","0.00","0.0","2.0","29","45","19"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-01-13","0.00","0.0","2.0","33","51","22"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-01-14","0.00","0.0","0.0","39","44","28"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-01-15","0.01","0.0","0.0","31","33","19"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-01-16","0.00","0.0","0.0","23","37","11"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-01-17","0.00","0.0","0.0","24","38","12"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-01-18","0.00","0.0","0.0","33","51","22"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-01-19","0.01","0.1","0.0","38","40","26"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-01-20","0.00","0.0","0.0","36","49","25"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-01-21","0.00","0.0","0.0","34","40","21"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-01-22","0.00","0.0","0.0","33","52","21"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-01-23","0.00","0.0","0.0","42","57","32"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-01-24","0.00","0.0","0.0","36","45","28"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-01-25","0.00","0.0","0.0","34","37","18"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-01-26","0.00","0.0","0.0","27","42","18"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-01-27","0.00","0.0","0.0","34","52","24"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-01-28","0.00","0.0","0.0","39","58","27"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-01-29","0.00","0.0","0.0","45","55","35"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-01-30","0.10","0.8","0.0","43","65","28"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-01-31","0.00","0.2","0.0","30","34","22"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-02-01","0.33","6.9","0.0","27","30","22"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-02-02","0.15","4.7","9.1","22","22","9"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-02-03","0.00","0.0","7.1","16","28","1"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-02-04","0.00","0.0","5.9","16","34","6"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-02-05","0.00","0.0","5.1","25","37","11"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-02-06","0.00","0.0","5.1","28","48","17"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-02-07","0.00","0.0","2.0","35","43","14"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-02-08","0.00","0.0","1.2","25","42","15"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-02-09","0.00","0.0","1.2","36","55","23"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-02-10","0.00","0.0","1.2","47","66","34"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-02-11","0.00","0.0","0.0","47","64","29"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-02-12","0.00","0.0","0.0","40","52","27"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-02-13","0.00","0.0","0.0","37","63","27"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-02-14","0.00","0.0","0.0","42","52","27"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-02-15","0.00","0.0","0.0","42","59","25"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-02-16","0.00","0.0","0.0","44","59","28"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-02-17","0.00","0.0","0.0","47","68","28"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-02-18","0.00","0.0","0.0","55","73","39"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-02-19","0.00","0.0","0.0","50","64","33"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-02-20","0.00","0.0","0.0","46","62","27"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-02-21","0.00","0.0","0.0","36","46","23"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-02-22","0.00","0.0","0.0","36","51","28"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-02-23","0.00","0.0","0.0","35","43","27"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-02-24","0.00","0.0","0.0","35","50","22"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-02-25","0.00","0.0","0.0","31","48","17"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-02-26","0.00","0.0","0.0","41","61","28"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-02-27","0.00","0.0","0.0","50","72","30"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-02-28","0.00","0.0","0.0","52","60","36"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-02-29","0.00","0.0","0.0","49","63","27"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-03-01","0.00","0.0","0.0","40","58","27"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2016-03-02","0.00","0.0","0.0","49","61","30"
